date,rank,song,artist,last-week,peak-rank,weeks-on-board
12/19/2020,32,White Christmas,Bing Crosby,37,12,18
12/19/2020,33,It's Beginning To Look A Lot Like Christmas,Michael Buble,39,33,3
12/19/2020,34,Rudolph The Red-Nosed Reindeer,Gene Autry,40,16,10
12/19/2020,35,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,45,28,6
12/19/2020,36,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,36,28,8
12/19/2020,37,(There's No Place Like) Home For The Holidays,Perry Como,47,32,5
12/19/2020,38,Monster,Shawn Mendes & Justin Bieber,38,8,3
12/19/2020,39,Santa Tell Me,Ariana Grande,,39,6
12/19/2020,40,Run Rudolph Run,Chuck Berry,,36,6
12/19/2020,41,Errbody,Lil Baby,,41,1
12/19/2020,42,Rockstar,DaBaby Featuring Roddy Ricch,35,1,34
12/19/2020,43,WAP,Cardi B Featuring Megan Thee Stallion,33,1,18
12/19/2020,44,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,29,1,26
12/19/2020,45,Wonderful Christmastime,Paul McCartney,,45,2
12/19/2020,46,What You Know Bout Love,Pop Smoke,52,25,14
12/19/2020,47,Whats Poppin,Jack Harlow Featuring DaBaby; Tory Lanez & Lil Wayne,48,2,44
12/19/2020,48,Holiday,Lil Nas X,51,37,4
12/19/2020,49,More Than My Hometown,Morgan Wallen,32,15,26
12/19/2020,50,Lonely,Justin Bieber & benny blanco,46,14,8
12/12/2020,1,Mood,24kGoldn Featuring iann dior,2,1,17
12/12/2020,2,All I Want For Christmas Is You,Mariah Carey,14,1,40
12/12/2020,3,Positions,Ariana Grande,4,1,6
12/12/2020,4,Rockin' Around The Christmas Tree,Brenda Lee,21,2,35
12/12/2020,5,Dakiti,Bad Bunny & Jhay Cortez,15,5,5
12/12/2020,6,Laugh Now Cry Later,Drake Featuring Lil Durk,7,2,16
12/12/2020,7,Holy,Justin Bieber Featuring Chance The Rapper,6,3,11
12/12/2020,8,I Hope,Gabby Barrett Featuring Charlie Puth,5,3,49
12/12/2020,9,Jingle Bell Rock,Bobby Helms,31,3,32
12/12/2020,10,Dynamite,BTS,3,1,15
12/12/2020,11,Blinding Lights,The Weeknd,9,1,53
12/12/2020,12,It's The Most Wonderful Time Of The Year,Andy Williams,37,7,17
12/12/2020,13,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,10,6,16
12/12/2020,14,Body,Megan Thee Stallion,12,12,2
12/12/2020,15,Go Crazy,Chris Brown & Young Thug,17,9,30
12/12/2020,16,Feliz Navidad,Jose Feliciano,45,12,11
12/12/2020,17,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,16,6,22
12/12/2020,18,The Christmas Song (Merry Christmas To You),Nat King Cole,48,11,23
12/12/2020,19,Kings & Queens,Ava Max,18,13,17
12/12/2020,20,Therefore I Am,Billie Eilish,11,2,4
12/12/2020,21,Last Christmas,Wham!,42,11,16
12/12/2020,22,Let It Snow Let It Snow Let It Snow,Dean Martin,49,15,10
12/12/2020,23,Sleigh Ride,The Ronettes,,21,8
12/12/2020,24,A Holly Jolly Christmas,Burl Ives,,4,16
12/12/2020,25,34+35,Ariana Grande,30,8,5
12/12/2020,26,Levitating,Dua Lipa Featuring DaBaby,24,20,9
12/12/2020,27,Bang!,AJR,29,24,22
12/12/2020,28,Life Goes On,BTS,1,1,2
12/12/2020,29,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,19,1,25
12/12/2020,30,Underneath The Tree,Kelly Clarkson,,30,6
12/12/2020,31,Be Like That,Kane Brown With Swae Lee & Khalid,27,19,21
12/12/2020,32,More Than My Hometown,Morgan Wallen,20,15,25
12/12/2020,33,WAP,Cardi B Featuring Megan Thee Stallion,23,1,17
12/12/2020,34,Happy Holiday / The Holiday Season,Andy Williams,,24,5
12/12/2020,35,Rockstar,DaBaby Featuring Roddy Ricch,26,1,33
12/12/2020,36,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,,28,7
12/12/2020,37,White Christmas,Bing Crosby,,12,17
12/12/2020,38,Monster,Shawn Mendes & Justin Bieber,8,8,2
12/12/2020,39,It's Beginning To Look A Lot Like Christmas,Michael Buble,,39,2
12/12/2020,40,Rudolph The Red-Nosed Reindeer,Gene Autry,,16,9
12/12/2020,41,Christmas (Baby Please Come Home),Darlene Love,,29,4
12/12/2020,42,Before You Go,Lewis Capaldi,28,9,44
12/12/2020,43,ily,Surf Mesa Featuring Emilee,33,23,28
12/12/2020,44,Said Sum,Moneybagg Yo,34,17,22
12/12/2020,45,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,,28,5
12/12/2020,46,Lonely,Justin Bieber & benny blanco,32,14,7
12/12/2020,47,(There's No Place Like) Home For The Holidays,Perry Como,,32,4
12/12/2020,48,Whats Poppin,Jack Harlow Featuring DaBaby; Tory Lanez & Lil Wayne,39,2,43
12/12/2020,49,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,44,36,19
12/12/2020,50,Watermelon Sugar,Harry Styles,36,1,37
12/5/2020,1,Life Goes On,BTS,,1,1
12/5/2020,2,Mood,24kGoldn Featuring iann dior,1,1,16
12/5/2020,3,Dynamite,BTS,14,1,14
12/5/2020,4,Positions,Ariana Grande,3,1,5
12/5/2020,5,I Hope,Gabby Barrett Featuring Charlie Puth,4,3,48
12/5/2020,6,Holy,Justin Bieber Featuring Chance The Rapper,6,3,10
12/5/2020,7,Laugh Now Cry Later,Drake Featuring Lil Durk,5,2,15
12/5/2020,8,Monster,Shawn Mendes & Justin Bieber,,8,1
12/5/2020,9,Blinding Lights,The Weeknd,7,1,52
12/5/2020,10,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,8,6,15
12/5/2020,11,Therefore I Am,Billie Eilish,2,2,3
12/5/2020,12,Body,Megan Thee Stallion,,12,1
12/5/2020,13,Blue & Grey,BTS,,13,1
12/5/2020,14,All I Want For Christmas Is You,Mariah Carey,29,1,39
12/5/2020,15,Dakiti,Bad Bunny & Jhay Cortez,9,8,4
12/5/2020,16,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,10,6,21
12/5/2020,17,Go Crazy,Chris Brown & Young Thug,12,9,29
12/5/2020,18,Kings & Queens,Ava Max,13,13,16
12/5/2020,19,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,11,1,24
12/5/2020,20,More Than My Hometown,Morgan Wallen,15,15,24
12/5/2020,21,Rockin' Around The Christmas Tree,Brenda Lee,43,2,34
12/5/2020,22,Stay,BTS,,22,1
12/5/2020,23,WAP,Cardi B Featuring Megan Thee Stallion,16,1,16
12/5/2020,24,Levitating,Dua Lipa Featuring DaBaby,20,20,8
12/5/2020,25,Somebody's Problem,Morgan Wallen,,25,1
12/5/2020,26,Rockstar,DaBaby Featuring Roddy Ricch,17,1,32
12/5/2020,27,Be Like That,Kane Brown With Swae Lee & Khalid,19,19,20
12/5/2020,28,Before You Go,Lewis Capaldi,18,9,43
12/5/2020,29,Bang!,AJR,24,24,21
12/5/2020,30,34+35,Ariana Grande,27,8,4
12/5/2020,31,Jingle Bell Rock,Bobby Helms,,3,31
12/5/2020,32,Lonely,Justin Bieber & benny blanco,26,14,6
12/5/2020,33,ily,Surf Mesa Featuring Emilee,23,23,27
12/5/2020,34,Said Sum,Moneybagg Yo,28,17,21
12/5/2020,35,Hawai,Maluma & The Weeknd,22,12,14
12/5/2020,36,Watermelon Sugar,Harry Styles,21,1,36
12/5/2020,37,It's The Most Wonderful Time Of The Year,Andy Williams,,7,16
12/5/2020,38,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,34,33,25
12/5/2020,39,Whats Poppin,Jack Harlow Featuring DaBaby; Tory Lanez & Lil Wayne,30,2,42
12/5/2020,40,One Of Them Girls,Lee Brice,33,17,26
12/5/2020,41,What You Know Bout Love,Pop Smoke,32,25,12
12/5/2020,42,Last Christmas,Wham!,,11,15
12/5/2020,43,Pretty Heart,Parker McCollum,36,36,20
12/5/2020,44,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,38,36,18
12/5/2020,45,Feliz Navidad,Jose Feliciano,,12,10
12/5/2020,46,Still Goin Down,Morgan Wallen,,46,1
12/5/2020,47,Better Together,Luke Combs,39,30,8
12/5/2020,48,The Christmas Song (Merry Christmas To You),Nat King Cole,,11,22
12/5/2020,49,Let It Snow Let It Snow Let It Snow,Dean Martin,,15,9
12/5/2020,50,Love You Like I Used To,Russell Dickerson,35,31,12
11/28/2020,1,Mood,24kGoldn Featuring iann dior,1,1,15
11/28/2020,2,Therefore I Am,Billie Eilish,94,2,2
11/28/2020,3,Positions,Ariana Grande,2,1,4
11/28/2020,4,I Hope,Gabby Barrett Featuring Charlie Puth,3,3,47
11/28/2020,5,Laugh Now Cry Later,Drake Featuring Lil Durk,4,2,14
11/28/2020,6,Holy,Justin Bieber Featuring Chance The Rapper,7,3,9
11/28/2020,7,Blinding Lights,The Weeknd,5,1,51
11/28/2020,8,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,6,6,14
11/28/2020,9,Dakiti,Bad Bunny & Jhay Cortez,8,8,3
11/28/2020,10,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,10,6,20
11/28/2020,11,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,9,1,23
11/28/2020,12,Go Crazy,Chris Brown & Young Thug,13,9,28
11/28/2020,13,Kings & Queens,Ava Max,15,13,15
11/28/2020,14,Dynamite,BTS,17,1,13
11/28/2020,15,More Than My Hometown,Morgan Wallen,19,15,23
11/28/2020,16,WAP,Cardi B Featuring Megan Thee Stallion,11,1,15
11/28/2020,17,Rockstar,DaBaby Featuring Roddy Ricch,14,1,31
11/28/2020,18,Before You Go,Lewis Capaldi,16,9,42
11/28/2020,19,Be Like That,Kane Brown With Swae Lee & Khalid,20,19,19
11/28/2020,20,Levitating,Dua Lipa Featuring DaBaby,26,20,7
11/28/2020,21,Watermelon Sugar,Harry Styles,18,1,35
11/28/2020,22,Hawai,Maluma & The Weeknd,12,12,13
11/28/2020,23,ily,Surf Mesa Featuring Emilee,23,23,26
11/28/2020,24,Bang!,AJR,24,24,20
11/28/2020,25,Starting Over,Chris Stapleton,48,25,12
11/28/2020,26,Lonely,Justin Bieber & benny blanco,21,14,5
11/28/2020,27,34+35,Ariana Grande,30,8,3
11/28/2020,28,Said Sum,Moneybagg Yo,22,17,20
11/28/2020,29,All I Want For Christmas Is You,Mariah Carey,,1,38
11/28/2020,30,Whats Poppin,Jack Harlow Featuring DaBaby; Tory Lanez & Lil Wayne,25,2,41
11/28/2020,31,Drankin N Smokin,Future & Lil Uzi Vert,,31,1
11/28/2020,32,What You Know Bout Love,Pop Smoke,28,25,11
11/28/2020,33,One Of Them Girls,Lee Brice,29,17,25
11/28/2020,34,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,33,33,24
11/28/2020,35,Love You Like I Used To,Russell Dickerson,31,31,11
11/28/2020,36,Pretty Heart,Parker McCollum,37,36,19
11/28/2020,37,Holiday,Lil Nas X,,37,1
11/28/2020,38,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,36,36,17
11/28/2020,39,Better Together,Luke Combs,39,30,7
11/28/2020,40,Forever After All,Luke Combs,27,2,4
11/28/2020,41,Got What I Got,Jason Aldean,34,16,25
11/28/2020,42,Big Big Plans,Chris Lane,56,42,7
11/28/2020,43,Rockin' Around The Christmas Tree,Brenda Lee,,2,33
11/28/2020,44,Wonder,Shawn Mendes,32,18,7
11/28/2020,45,pov,Ariana Grande,45,40,3
11/28/2020,46,Stripes Like Burberry,Future & Lil Uzi Vert,,46,1
11/28/2020,47,Come & Go,Juice WRLD x Marshmello,38,2,19
11/28/2020,48,Diamonds,Sam Smith,40,40,9
11/28/2020,49,Adore You,Harry Styles,43,6,50
11/28/2020,50,That's It,Future & Lil Uzi Vert,,50,1
11/21/2020,1,Mood,24kGoldn Featuring iann dior,1,1,14
11/21/2020,2,Positions,Ariana Grande,2,1,3
11/21/2020,3,I Hope,Gabby Barrett Featuring Charlie Puth,5,3,46
11/21/2020,4,Laugh Now Cry Later,Drake Featuring Lil Durk,3,2,13
11/21/2020,5,Blinding Lights,The Weeknd,4,1,50
11/21/2020,6,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,7,6,13
11/21/2020,7,Holy,Justin Bieber Featuring Chance The Rapper,11,3,8
11/21/2020,8,Dakiti,Bad Bunny & Jhay Cortez,9,8,2
11/21/2020,9,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,6,1,22
11/21/2020,10,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,12,6,19
11/21/2020,11,WAP,Cardi B Featuring Megan Thee Stallion,10,1,14
11/21/2020,12,Hawai,Maluma & The Weeknd,60,12,12
11/21/2020,13,Go Crazy,Chris Brown & Young Thug,15,9,27
11/21/2020,14,Rockstar,DaBaby Featuring Roddy Ricch,13,1,30
11/21/2020,15,Kings & Queens,Ava Max,19,15,14
11/21/2020,16,Before You Go,Lewis Capaldi,14,9,41
11/21/2020,17,Dynamite,BTS,16,1,12
11/21/2020,18,Watermelon Sugar,Harry Styles,17,1,34
11/21/2020,19,More Than My Hometown,Morgan Wallen,23,19,22
11/21/2020,20,Be Like That,Kane Brown With Swae Lee & Khalid,22,19,18
11/21/2020,21,Lonely,Justin Bieber & benny blanco,21,14,4
11/21/2020,22,Said Sum,Moneybagg Yo,20,17,19
11/21/2020,23,ily,Surf Mesa Featuring Emilee,25,23,25
11/21/2020,24,Bang!,AJR,26,24,19
11/21/2020,25,Whats Poppin,Jack Harlow Featuring DaBaby; Tory Lanez & Lil Wayne,24,2,40
11/21/2020,26,Levitating,Dua Lipa Featuring DaBaby,29,26,6
11/21/2020,27,Forever After All,Luke Combs,18,2,3
11/21/2020,28,What You Know Bout Love,Pop Smoke,30,25,10
11/21/2020,29,One Of Them Girls,Lee Brice,27,17,24
11/21/2020,30,34+35,Ariana Grande,8,8,2
11/21/2020,31,Love You Like I Used To,Russell Dickerson,34,31,10
11/21/2020,32,Wonder,Shawn Mendes,33,18,6
11/21/2020,33,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,36,33,23
11/21/2020,34,Got What I Got,Jason Aldean,28,16,24
11/21/2020,35,What That Speed Bout!?,Mike WiLL Made-It; Nicki Minaj & YoungBoy Never Broke Again,,35,1
11/21/2020,36,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,46,36,16
11/21/2020,37,Pretty Heart,Parker McCollum,38,37,18
11/21/2020,38,Come & Go,Juice WRLD x Marshmello,31,2,18
11/21/2020,39,Better Together,Luke Combs,41,30,6
11/21/2020,40,Diamonds,Sam Smith,45,40,8
11/21/2020,41,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,39,11,19
11/21/2020,42,Rags2Riches,Rod Wave Featuring ATR Son Son,42,12,20
11/21/2020,43,Adore You,Harry Styles,37,6,49
11/21/2020,44,Midnight Sky,Miley Cyrus,82,14,13
11/21/2020,45,pov,Ariana Grande,40,40,2
11/21/2020,46,Roses,SAINt JHN,44,4,34
11/21/2020,47,Took Her To The O,King Von,,47,1
11/21/2020,48,Starting Over,Chris Stapleton,69,48,11
11/21/2020,49,I Should Probably Go To Bed,Dan + Shay,58,42,15
11/21/2020,50,You Broke Me First.,Tate McRae,61,50,12
11/14/2020,1,Mood,24kGoldn Featuring iann dior,3,1,13
11/14/2020,2,Positions,Ariana Grande,1,1,2
11/14/2020,3,Laugh Now Cry Later,Drake Featuring Lil Durk,4,2,12
11/14/2020,4,Blinding Lights,The Weeknd,5,1,49
11/14/2020,5,I Hope,Gabby Barrett Featuring Charlie Puth,6,5,45
11/14/2020,6,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,8,1,21
11/14/2020,7,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,9,7,12
11/14/2020,8,34+35,Ariana Grande,,8,1
11/14/2020,9,Dakiti,Bad Bunny & Jhay Cortez,,9,1
11/14/2020,10,WAP,Cardi B Featuring Megan Thee Stallion,7,1,13
11/14/2020,11,Holy,Justin Bieber Featuring Chance The Rapper,10,3,7
11/14/2020,12,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,14,6,18
11/14/2020,13,Rockstar,DaBaby Featuring Roddy Ricch,11,1,29
11/14/2020,14,Before You Go,Lewis Capaldi,13,9,40
11/14/2020,15,Go Crazy,Chris Brown & Young Thug,16,9,26
11/14/2020,16,Dynamite,BTS,12,1,11
11/14/2020,17,Watermelon Sugar,Harry Styles,15,1,33
11/14/2020,18,Forever After All,Luke Combs,2,2,2
11/14/2020,19,Kings & Queens,Ava Max,22,19,13
11/14/2020,20,Said Sum,Moneybagg Yo,17,17,18
11/14/2020,21,Lonely,Justin Bieber & benny blanco,27,14,3
11/14/2020,22,Be Like That,Kane Brown With Swae Lee & Khalid,19,19,17
11/14/2020,23,More Than My Hometown,Morgan Wallen,23,23,21
11/14/2020,24,Whats Poppin,Jack Harlow Featuring DaBaby; Tory Lanez & Lil Wayne,20,2,39
11/14/2020,25,ily,Surf Mesa Featuring Emilee,25,25,24
11/14/2020,26,Bang!,AJR,28,26,18
11/14/2020,27,One Of Them Girls,Lee Brice,26,17,23
11/14/2020,28,Got What I Got,Jason Aldean,21,16,23
11/14/2020,29,Levitating,Dua Lipa Featuring DaBaby,42,29,5
11/14/2020,30,What You Know Bout Love,Pop Smoke,29,25,9
11/14/2020,31,Come & Go,Juice WRLD x Marshmello,24,2,17
11/14/2020,32,Motive,Ariana Grande Featuring Doja Cat,,32,1
11/14/2020,33,Wonder,Shawn Mendes,32,18,5
11/14/2020,34,Love You Like I Used To,Russell Dickerson,37,34,9
11/14/2020,35,Off The Table,Ariana Grande Featuring The Weeknd,,35,1
11/14/2020,36,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,36,36,22
11/14/2020,37,Adore You,Harry Styles,31,6,48
11/14/2020,38,Pretty Heart,Parker McCollum,43,38,17
11/14/2020,39,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,35,11,18
11/14/2020,40,pov,Ariana Grande,,40,1
11/14/2020,41,Better Together,Luke Combs,30,30,5
11/14/2020,42,Rags2Riches,Rod Wave Featuring ATR Son Son,40,12,19
11/14/2020,43,Just Like Magic,Ariana Grande,,43,1
11/14/2020,44,Roses,SAINt JHN,39,4,33
11/14/2020,45,Diamonds,Sam Smith,58,45,7
11/14/2020,46,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,46,45,15
11/14/2020,47,Shut Up,Ariana Grande,,47,1
11/14/2020,48,Thriller,Michael Jackson,,4,20
11/14/2020,49,Nasty,Ariana Grande,,49,1
11/14/2020,50,Break My Heart,Dua Lipa,44,13,32
11/7/2020,1,Positions,Ariana Grande,,1,1
11/7/2020,2,Forever After All,Luke Combs,,2,1
11/7/2020,3,Mood,24kGoldn Featuring iann dior,1,1,12
11/7/2020,4,Laugh Now Cry Later,Drake Featuring Lil Durk,3,2,11
11/7/2020,5,Blinding Lights,The Weeknd,4,1,48
11/7/2020,6,I Hope,Gabby Barrett Featuring Charlie Puth,6,6,44
11/7/2020,7,WAP,Cardi B Featuring Megan Thee Stallion,2,1,12
11/7/2020,8,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,5,1,20
11/7/2020,9,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,10,9,11
11/7/2020,10,Holy,Justin Bieber Featuring Chance The Rapper,9,3,6
11/7/2020,11,Rockstar,DaBaby Featuring Roddy Ricch,8,1,28
11/7/2020,12,Dynamite,BTS,7,1,10
11/7/2020,13,Before You Go,Lewis Capaldi,12,9,39
11/7/2020,14,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,13,6,17
11/7/2020,15,Watermelon Sugar,Harry Styles,11,1,32
11/7/2020,16,Go Crazy,Chris Brown & Young Thug,15,9,25
11/7/2020,17,Said Sum,Moneybagg Yo,23,17,17
11/7/2020,18,Circles,Post Malone,19,1,61
11/7/2020,19,Be Like That,Kane Brown With Swae Lee & Khalid,20,19,16
11/7/2020,20,Whats Poppin,Jack Harlow Featuring DaBaby; Tory Lanez & Lil Wayne,18,2,38
11/7/2020,21,Got What I Got,Jason Aldean,16,16,22
11/7/2020,22,Kings & Queens,Ava Max,24,22,12
11/7/2020,23,More Than My Hometown,Morgan Wallen,28,23,20
11/7/2020,24,Come & Go,Juice WRLD x Marshmello,22,2,16
11/7/2020,25,ily,Surf Mesa Featuring Emilee,27,25,23
11/7/2020,26,One Of Them Girls,Lee Brice,17,17,22
11/7/2020,27,Lonely,Justin Bieber & benny blanco,14,14,2
11/7/2020,28,Bang!,AJR,26,26,17
11/7/2020,29,What You Know Bout Love,Pop Smoke,25,25,8
11/7/2020,30,Better Together,Luke Combs,57,30,4
11/7/2020,31,Adore You,Harry Styles,31,6,47
11/7/2020,32,Wonder,Shawn Mendes,30,18,4
11/7/2020,33,Dreams,Fleetwood Mac,21,1,23
11/7/2020,34,Tyler Herro,Jack Harlow,,34,1
11/7/2020,35,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,32,11,17
11/7/2020,36,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,37,36,21
11/7/2020,37,Love You Like I Used To,Russell Dickerson,41,37,8
11/7/2020,38,Don't Start Now,Dua Lipa,36,2,52
11/7/2020,39,Roses,SAINt JHN,33,4,32
11/7/2020,40,Rags2Riches,Rod Wave Featuring ATR Son Son,38,12,18
11/7/2020,41,Lovin' On You,Luke Combs,45,23,18
11/7/2020,42,Levitating,Dua Lipa Featuring DaBaby,47,42,4
11/7/2020,43,Pretty Heart,Parker McCollum,44,43,16
11/7/2020,44,Break My Heart,Dua Lipa,34,13,31
11/7/2020,45,Some Girls,Jameson Rodgers,29,29,12
11/7/2020,46,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,49,45,14
11/7/2020,47,Mood Swings,Pop Smoke Featuring Lil Tjay,40,17,17
11/7/2020,48,Everywhere But On,Matt Stell,56,48,8
